transaction_id,date,account_key,department_key,vendor_key,product_key,customer_key,amount
1,2022-01-24,1,30,390,84,857,506.98
2,2022-01-04,2,37,778,68,968,295.95
3,2022-01-06,2,14,455,77,534,66.84
4,2022-01-18,1,34,954,63,540,478.65
5,2022-01-10,1,40,813,24,897,377.61
6,2022-01-10,3,38,865,34,939,488.06
7,2022-01-06,3,17,426,45,813,500.24
8,2022-01-22,3,20,835,81,318,416.18
9,2022-01-21,3,37,104,66,447,174.02
10,2022-01-13,3,15,883,89,501,321.13
11,2022-01-04,1,12,788,76,951,115.1
12,2022-01-04,3,30,508,79,69,340.61
13,2022-01-29,1,34,683,55,783,133.78
14,2022-01-02,1,25,334,3,571,37.14
15,2022-01-21,1,37,888,1,277,426.61
16,2022-01-06,3,32,31,7,746,47.23
17,2022-01-18,3,13,843,56,127,445.84
18,2022-01-03,3,30,754,98,587,13.95
19,2022-01-23,3,31,159,4,37,525.37
20,2022-01-19,2,15,155,72,462,289.36
21,2022-01-05,3,14,777,6,806,542.12
22,2022-01-21,3,38,10,35,667,127.56
23,2022-01-06,1,12,43,98,673,273.16
24,2022-01-05,2,30,793,77,874,97.18
25,2022-01-01,3,33,211,23,243,342.57
26,2022-01-19,3,20,901,40,692,459.52
27,2022-01-03,2,18,661,80,894,543.98
28,2022-01-21,2,34,347,57,163,31.02
29,2022-01-19,2,12,456,15,693,467.31
30,2022-01-13,3,17,55,42,12,239.89
31,2022-01-05,3,12,211,76,544,439.7
32,2022-01-17,2,16,767,89,135,516.05
33,2022-01-17,3,11,242,40,418,100.64
34,2022-01-10,1,15,411,45,485,404.27
35,2022-01-28,3,19,182,43,417,453.33
36,2022-01-08,1,35,556,63,858,241.02
37,2022-01-02,2,31,960,97,491,353.95
38,2022-01-13,3,14,651,12,348,224.4
39,2022-01-11,3,36,922,35,64,465.62
40,2022-01-28,2,10,374,76,72,443.15
41,2022-01-01,2,22,90,4,744,510.85
42,2022-01-13,3,29,549,13,263,167.79
43,2022-01-11,3,16,791,71,651,300.78
44,2022-01-08,3,38,543,32,813,79.55
45,2022-01-29,3,16,759,79,538,95.15
46,2022-01-18,1,33,243,87,427,528.75
47,2022-01-13,1,36,765,31,155,257.57
48,2022-01-13,3,23,434,57,995,46.85
49,2022-01-29,3,29,850,48,685,154.36
50,2022-01-08,2,12,680,29,407,441.74
51,2022-01-17,2,20,76,96,963,209.38
52,2022-01-07,3,19,894,9,348,438.25
53,2022-01-03,2,30,409,3,798,98.08
54,2022-01-06,2,13,243,8,918,221.1
55,2022-01-28,2,29,600,3,790,249.3
56,2022-01-07,2,38,501,22,935,135.0
57,2022-01-09,2,24,258,82,385,167.92
58,2022-01-18,3,40,441,97,820,197.7
59,2022-01-11,2,15,703,63,544,176.81
60,2022-01-20,3,29,519,98,49,349.57
61,2022-01-26,2,36,562,35,821,523.27
62,2022-01-07,1,13,247,82,333,56.76
63,2022-01-15,3,16,321,65,564,333.93
64,2022-01-28,1,16,557,71,955,37.96
65,2022-01-03,3,32,474,53,835,114.72
66,2022-01-22,3,10,731,16,754,139.96
67,2022-01-03,2,22,853,57,997,527.12
68,2022-01-18,3,15,938,7,53,509.42
69,2022-01-01,2,27,355,60,930,397.72
70,2022-01-23,3,13,268,12,565,541.54
71,2022-01-16,3,31,727,53,602,55.35
72,2022-01-05,3,37,287,20,73,100.21
73,2022-01-29,1,23,73,8,292,163.62
74,2022-01-12,3,15,940,34,631,239.97
75,2022-01-08,3,27,262,12,686,337.57
76,2022-01-15,2,13,62,40,314,108.47
77,2022-01-02,3,14,825,7,852,61.98
78,2022-01-10,2,32,884,26,934,269.5
79,2022-01-22,1,29,809,100,695,37.29
80,2022-01-21,3,23,316,10,312,490.42
81,2022-01-17,3,16,279,66,582,394.82
